round,loss,detection_rate,false_positive_rate
1,12.448416507989169,0.408,0.011578947368421053
2,12.151444011181592,0.394,0.01136842105263158
3,11.929714739695191,0.418,0.008526315789473684
4,14.877449476718903,0.386,0.011684210526315788
5,11.095480372570455,0.38,0.009684210526315788
6,10.67826323993504,0.382,0.010315789473684209
7,9.963731979951262,0.4,0.011368421052631578
8,9.397972036711872,0.344,0.013578947368421052
9,9.091990974731743,0.402,0.010105263157894737
10,8.4444176918827,0.418,0.013052631578947368
11,8.286432279832662,0.36,0.01389473684210526
12,7.9145191188901665,0.392,0.011894736842105263
13,7.671737639792264,0.348,0.012842105263157893
14,7.669167638197541,0.386,0.01263157894736842
15,7.279495395720005,0.394,0.012526315789473684
16,6.981809131149203,0.366,0.01263157894736842
17,6.906180846132338,0.376,0.011052631578947368
18,6.711400955822318,0.388,0.010842105263157896
19,6.51572666959837,0.38,0.011894736842105262
20,6.370173234585673,0.376,0.010105263157894737
