round,loss,detection_rate,false_positive_rate
1,9.683851672708988,0.392,0.009684210526315788
2,9.65471497476101,0.412,0.00968421052631579
3,9.537999688833953,0.356,0.010105263157894737
4,9.425996816158294,0.4,0.01094736842105263
5,9.206561214476825,0.408,0.010736842105263157
6,9.0409761313349,0.404,0.013473684210526318
7,8.997121658921241,0.352,0.012842105263157893
8,8.856245113909244,0.376,0.007368421052631578
9,8.527107529342175,0.396,0.01136842105263158
10,8.275275022909046,0.384,0.011368421052631578
11,8.120541187375784,0.364,0.012
12,7.677784897014499,0.376,0.011578947368421052
13,7.390193859487772,0.364,0.011157894736842106
14,7.161443559452891,0.412,0.009052631578947368
15,6.9034497130662205,0.408,0.011368421052631578
16,6.657488065958023,0.42,0.008842105263157896
17,6.6721181739121675,0.428,0.009894736842105262
18,6.291783851757645,0.42,0.013263157894736845
19,6.047772417590022,0.436,0.015157894736842106
20,5.873135695978999,0.4,0.01431578947368421
